Message Length(bits), Throughput (Octet/sec)
38848, 1.1909842297598902E7
38912, 1.1902227507750886E7
38976, 1.1827280914914949E7
39040, 1.1900639415503021E7
39104, 1.1893059786469942E7
39168, 1.189903320355221E7
39232, 1.073757318584497E7
39296, 1.0777129316775639E7
39360, 1.077262963830677E7
39424, 1.0768148306769863E7
39488, 1.0720041003722478E7
39552, 1.0770162467377996E7
39616, 1.077662655898745E7
39680, 1.0794036294947041E7
39744, 1.0789538838430565E7
39808, 1.0774154155281197E7
39872, 1.180505551976352E7
39936, 1.1863315216745526E7
40000, 1.1816838995568685E7
40064, 1.179674176253875E7
40128, 1.1894006757958384E7
40192, 1.1899799143517641E7
40256, 1.1892466765140325E7
40320, 1.1833096984438539E7
40384, 1.190403199562324E7
40448, 1.1896722518829811E7
40512, 1.1889445065316817E7
40576, 1.1895185404945226E7
40640, 1.1900941064571977E7
40704, 9843410.834716598
40768, 1.078347352272126E7
40832, 1.0789739600289192E7
40896, 1.0785401730896631E7
40960, 1.0781058186129075E7
41024, 1.0787295897545932E7
41088, 1.1177050486058066E7
41152, 1.1907710613001721E7
41216, 1.1887731086232198E7
41280, 1.1906162823698802E7
41344, 1.188625261046763E7
41408, 1.1891906794653237E7
41472, 1.1897521579175664E7
41536, 1.1903151629920196E7
41600, 1.1896046852122987E7
41664, 1.187631122867828E7
41728, 9956269.529348662
41792, 1.0736357078411989E7
41856, 1.069129697366001E7
41920, 1.0789929947821217E7
41984, 1.0785704009700557E7
42048, 1.1909779342786834E7
42112, 1.1902716098513968E7
42176, 1.1895709466701264E7
42240, 1.1901219875037191E7
42304, 1.1906745504573109E7
42368, 1.1899786540838107E7
42432, 1.1905242885809328E7
42496, 1.1898308881173704E7
42560, 1.1829661765065586E7
42624, 1.1909258957090458E7
42688, 1.1902318900061565E7
42752, 1.0292242684303174E7
42816, 1.0279932235424276E7
42880, 1.0778202292378847E7
42944, 1.0703909678783009E7
43008, 1.0780028072989773E7
43072, 1.121575538654151E7
43136, 1.1915627106283769E7
43200, 1.1896500446118766E7
43264, 1.1901906109630464E7
43328, 1.1895087785572154E7
43392, 1.190045219085482E7
43456, 1.1905831709578363E7
43520, 1.1899007176588703E7
43584, 1.179616538016001E7
43648, 1.1909725329776714E7
43712, 1.190294654566209E7
43776, 9309241.361476548
43840, 1.1889445513578484E7
43904, 1.069447854673573E7
43968, 1.0788549532908412E7
44032, 1.0794358065174075E7
44096, 1.0980845278057234E7
44160, 1.1903966047818577E7
44224, 1.1897280498618297E7
44288, 1.1902535093773315E7
44352, 1.189587249272601E7
44416, 1.1901112728317231E7
44480, 1.1906367979579294E7
44544, 1.1911587270346822E7
44608, 1.1904939824116042E7
44672, 1.1874736837628284E7
44736, 1.1903545519566773E7
44800, 6502713.140938179
44864, 1.0761994500022069E7
44928, 1.078703481392557E7
44992, 1.07830768581826E7
45056, 1.0617960793481417E7
45120, 1.1481266603560414E7
45184, 1.1486632147113496E7
45248, 1.1502902164319038E7
45312, 1.1856640158088535E7
45376, 1.1885005447992625E7
45440, 1.1443145898095561E7
45504, 1.1883695227509668E7
45568, 1.1888809574499171E7
45632, 1.021468020028223E7
45696, 1.072162626347946E7
45760, 1.0764931166545907E7
45824, 1.0770520963781115E7
45888, 1.0572258511626536E7
45952, 1.0632724876392722E7
46016, 1.0538311305233613E7
46080, 1.0764584516939271E7
46144, 1.0760792507742248E7
46208, 1.0766337301742634E7
46272, 1.0734588052759834E7
46336, 1.0777418034312082E7
46400, 1.077360022141606E7
46464, 1.1216122790280905E7
46528, 1.1783584024896266E7
46592, 1.024974965197665E7
46656, 1.0777009047365619E7
46720, 1.0763945207095357E7
46784, 1.0760186573686486E7
46848, 1.006636997003811E7
46912, 1.1510904344070826E7
46976, 1.1516073866043271E7
47040, 1.1531785955932103E7
47104, 1.1526362050705815E7
47168, 1.154202286870949E7
47232, 1.1894424891259894E7
47296, 1.187704287347293E7
47360, 1.189313854301017E7
47424, 1.1898047700573826E7
47488, 1.1880744227751626E7
47552, 1.188564664196489E7
47616, 1.1890563663060741E7
47680, 1.1895447795749573E7
47744, 1.1889275148665743E7
47808, 1.1905188797647651E7
47872, 1.1876998437968286E7
47936, 1.0493705002898378E7
48000, 1.071788386101048E7
48064, 1.0652274512376532E7
48128, 1.0791418526225157E7
48192, 1.0778719543944217E7
48256, 1.1917086161797361E7
48320, 1.1488197018774834E7
48384, 1.1915762181246465E7
48448, 1.1920555872684684E7
48512, 1.1914422069973653E7
48576, 1.1908310714341747E7
48640, 1.1913089310941428E7
48704, 1.1907020408961557E7
48768, 1.1900950358043684E7
