Message Length(bits), Throughput (Octet/sec)
64, 169790.0969925929
128, 4287245.444801715
192, 6430868.167202572
256, 6859592.711682743
320, 7145409.074669525
384, 6859102.600743069
448, 7060900.26478376
512, 7621769.679647494
576, 7349188.527100133
640, 7794991.7178213
704, 7545228.500385836
768, 7914914.667326243
832, 7962027.254631757
896, 8002858.163629867
960, 8038046.7546386225
1024, 8070109.072567934
1088, 7879033.659695267
1152, 7914697.152907552
1216, 7946881.371882678
1280, 7976071.784646061
1344, 8002667.55585195
1408, 8026999.908784092
1472, 8049345.990638261
1536, 8069939.475453935
1600, 8088978.766430737
1664, 8106633.408683451
1728, 8123049.151968711
1792, 8138351.983723296
1856, 8152651.368731771
1920, 8166042.871725076
1984, 8054563.169860343
2048, 8069854.679570028
2112, 8084519.9816260915
2176, 8097889.189913364
2240, 8110769.943803951
2304, 8123201.895413775
2368, 8240305.114000168
2432, 8145548.0828487985
2496, 8156009.829037486
2560, 8166181.799622314
2624, 8175473.579262213
2688, 8278716.798896171
2752, 8193207.259562711
2816, 8201495.841002819
2880, 8209431.724892821
2944, 8217220.4358699545
3008, 8224331.773043441
3072, 8231334.805256051
3136, 8319714.752637052
3200, 8244532.844157717
3264, 8250758.341759352
3328, 8256753.269952166
3392, 8262530.205004287
3456, 8268100.82489617
3520, 5716215.865097306
3584, 6488709.934388715
3648, 1.1235401369930517E7
3712, 1.143251367466614E7
3776, 1.1368289216984995E7
3840, 1.1560693641618496E7
3904, 1.1753654953153977E7
3968, 1.1683784038443418E7
4032, 1.1743050863254037E7
4096, 1.180131381813991E7
4160, 1.185806804706741E7
4224, 1.1789661717092777E7
4288, 1.1724047421147032E7
4352, 1.1778716033344159E7
4416, 1.1832543782555573E7
4480, 1.1768661735036988E7
4544, 5910448.382430985
4608, 9722011.241075497
4672, 1.0519679365937134E7
4736, 1.0575016523463318E7
4800, 1.0629251700680273E7
4864, 1.1432439547215223E7
4928, 1.1382955133417103E7
4992, 1.14325497883879E7
5056, 1.148088940560965E7
5120, 1.1432246079096852E7
5184, 1.1479591836734693E7
5248, 1.1432355657796135E7
5312, 1.1478555499853062E7
5376, 1.1432460020415107E7
5440, 1.1387805000586137E7
5504, 1.1432369557992687E7
5568, 1.1476437027998548E7
5632, 1.1432468861137725E7
5696, 1.1475356993198596E7
5760, 1.1432382222645644E7
5824, 1.1474505477184962E7
5888, 1.1432476933113797E7
5952, 1.1391649186201407E7
6016, 1.1514140037665937E7
6080, 1.147273715355353E7
6144, 1.143248433243521E7
6208, 1.1471823073738985E7
6272, 1.143240445047173E7
6336, 1.1470946063379874E7
6400, 1.143232776483702E7
6464, 1.1470266740485214E7
6528, 1.1507544775066987E7
6592, 1.1469613874892125E7
6656, 1.1432497423565786E7
6720, 1.1542425283407765E7
6784, 1.143242332322211E7
6848, 1.14682279176324E7
6912, 1.1503435053522928E7
6976, 1.146734699245154E7
7040, 1.1502065143514402E7
7104, 1.1466794075489726E7
7168, 1.1500892089285944E7
7232, 1.1466260781329274E7
7296, 1.1432296236869156E7
7360, 1.1465603190428713E7
7424, 1.1367116206714928E7
7488, 1.1465108587807298E7
7552, 1.1368152313972952E7
7616, 1.1529331976941336E7
7680, 1.1496317585773308E7
7744, 1.1527652074501025E7
7808, 1.1495200518226253E7
7872, 1.146345441412894E7
7936, 1.1556653230503973E7
8000, 1.1463026009606015E7
8064, 1.149320441484995E7
8128, 1.1462481807822919E7
8192, 1.1492317879308216E7
8256, 1.1521714859886123E7
8320, 1.1491331779057048E7
8384, 1.1520408051094329E7
8448, 1.1549061638741853E7
8512, 1.1519016120126883E7
8576, 1.1489571499003237E7
8640, 1.1517788584591758E7
8704, 1.1488791037053462E7
8768, 1.1516476126429053E7
8832, 1.1432476933113797E7
8896, 1.15152017231381E7
8960, 1.1487061671162346E7
9024, 1.1569112111670649E7
9088, 1.1486349848331647E7
9152, 1.1512876508297523E7
9216, 1.148565788293004E7
9280, 1.1511819462914078E7
9344, 1.1537853643116802E7
9408, 1.1510678699371612E7
9472, 1.1484107508317249E7
9536, 1.1509679911166899E7
9600, 1.1534912334666258E7
9664, 1.1508707747418161E7
9728, 1.153350026557402E7
9792, 1.1507652965289008E7
9856, 1.1432389295126388E7
9920, 1.1506625589250585E7
9984, 1.1481457629925389E7
10048, 1.1505729963449154E7
10112, 1.1529690778071696E7
10176, 1.1504752946284018E7
10240, 4490629.3195994925
10304, 5258902.979772822
10368, 9353753.77109286
10432, 9912128.675240962
10496, 1.07342136697593E7
10560, 1.059747266333756E7
10624, 1.074216380182002E7
10688, 1.019147150812419E7
10752, 9445764.165132198
10816, 9993495.358050972
10880, 1.0757451116876543E7
10944, 9709978.280311741
11008, 1.057184784529453E7
11072, 1.063331207695322E7
11136, 1.0733369830903161E7
11200, 1.056691498916891E7
11264, 1.0664808404596169E7
11328, 1.0650219999247866E7
11392, 1.0635675821015917E7
11456, 1.0732862646340182E7
11520, 1.0755258126195028E7
11584, 1.0666352372674102E7
11648, 6254591.067447345
11712, 1.0784133181098303E7
11776, 1.0732461320851013E7
11840, 1.0574978742863676E7
11904, 1.0739495070514025E7
11968, 1.0725013800569229E7
12032, 1.0501399953916728E7
12096, 1.0488928353404738E7
12160, 1.0753220660332642E7
12224, 1.0774296814954272E7
12288, 1.0759919300605245E7
12352, 1.0780692505882598E7
12416, 1.0766487918918356E7
12480, 1.078696436844398E7
12544, 1.0772856249699418E7
12608, 1.0793189880699638E7
12672, 1.0711097887533471E7
12736, 1.0731378496798113E7
12800, 1.078530502190765E7
12864, 1.145136020509899E7
12928, 1.1546733546261959E7
12992, 1.1527050239200488E7
13056, 1.1545563235304523E7
13120, 1.152608127292917E7
13184, 1.1506933486014329E7
13248, 1.1525131188842338E7
13312, 1.1543450964613495E7
13376, 1.152427887100665E7
13440, 1.1432382222645642E7
13504, 1.1486900306226607E7
13568, 1.0692624862874651E7
13632, 9952747.811154788
13696, 1.0793498682335733E7
13760, 1.0298784503921922E7
13824, 1.0799122571291082E7
13888, 1.0786226436195992E7
13952, 1.080458203490425E7
14016, 1.0760811483112529E7
14080, 1.0779161920160709E7
14144, 1.0797276252710007E7
14208, 1.0784682835594311E7
14272, 1.0772231313137412E7
14336, 1.0699976713220323E7
14400, 1.1517714885366743E7
14464, 1.1534437440988082E7
14528, 1.1551134122915262E7
14592, 1.1533573194559492E7
14656, 1.1550125147371275E7
14720, 1.1532651820466695E7
14784, 1.151545363908275E7
14848, 1.1531818125333963E7
14912, 1.0245135759041442E7
14976, 1.1530927771549653E7
15040, 1.1547060413237354E7
15104, 1.0143066665950349E7
15168, 1.1546050227754366E7
15232, 1.1529262163553242E7
15296, 1.1480380677894862E7
15360, 1.1528484964934193E7
15424, 1.151202851734865E7
15488, 1.1527652074501025E7
15552, 1.1543257526275162E7
15616, 1.1526901023366777E7
15680, 1.1510656166129306E7
15744, 1.146345441412894E7
15808, 1.1510053822316457E7
15872, 1.1525301638753826E7
15936, 1.154053380762301E7
16000, 1.1555617185513878E7
16064, 1.0575712728249477E7
16128, 1.1523819322975615E7
16192, 1.144744581693136E7
16256, 1.1523128484016763E7
16320, 1.1537939459752953E7
16384, 1.0707432987049654E7
16448, 1.0775568390268445E7
16512, 1.0410204421310658E7
16576, 1.0780324866546655E7
16640, 1.0795773039632943E7
16704, 1.0733342243515272E7
16768, 1.0774466160157094E7
16832, 1.0738255033557046E7
16896, 1.0702666545045456E7
16960, 1.0794242391841182E7
17024, 1.0809273218603328E7
17088, 1.0748089144731876E7
17152, 1.1547306795353072E7
17216, 1.153238123308593E7
17280, 1.1546418204852704E7
17344, 1.153166953894598E7
17408, 1.1545604074919086E7
17472, 1.1530907478194758E7
17536, 1.1516476126429053E7
17600, 1.1530277460403979E7
17664, 1.1543951189162908E7
17728, 1.1557558309342012E7
17792, 1.1543112799671976E7
17856, 1.1528806520593796E7
17920, 1.1542345981820805E7
17984, 1.1528086891416498E7
18048, 1.1541531094603721E7
18112, 1.1554911347698715E7
18176, 1.1568169204841116E7
18240, 1.1526794742163802E7
18304, 1.1540052253033804E7
18368, 1.1499146078220237E7
