Message Length(bits), Throughput (Octet/sec)
64, 3429061.294470639
128, 8574490.88960343
192, 8574490.88960343
256, 7620862.110026197
320, 9526077.637532746
384, 9353078.721745908
448, 1.0003572704537336E7
512, 9145470.134324092
576, 5321901.101337867
640, 5196829.933740418
704, 9927797.833935019
768, 1.0289389067524115E7
832, 1.0132501948558066E7
896, 1.043802423112768E7
960, 1.0289830217801407E7
1024, 1.055321955643499E7
1088, 1.0797078437599238E7
1152, 1.0643802202675734E7
1216, 1.0510302862674596E7
1280, 9269988.412514484
1344, 1.0591350397175638E7
1408, 1.0779029887310142E7
1472, 1.0659869068999479E7
1536, 9353990.06138556
1600, 1.0456422857740367E7
1664, 1.0615494539144637E7
1728, 1.0523238819058755E7
1792, 1.06702234078026E7
1856, 9383215.369059656
1920, 1.0499146944310775E7
1984, 1.0632368703108253E7
2048, 9300973.695683768
2112, 1.0677451971688574E7
2176, 1.060098214981682E7
2240, 1.052987853032981E7
2304, 1.0643802202675734E7
2368, 1.0574827623164589E7
2432, 1.0682784552131286E7
2496, 1.06158557332426E7
2560, 6659729.448491155
2624, 6450471.002379594
2688, 1.0591684266935661E7
2752, 1.053405193532582E7
2816, 1.0627377573818006E7
2880, 1.057113492879166E7
2944, 1.0659869068999479E7
3008, 8760688.73925301
3072, 1.1759301791456133E7
3136, 1.1670834821960224E7
3200, 1.1745705476435179E7
3264, 1.18185504895429E7
3328, 1.1733182907911437E7
3392, 1.1803680298432672E7
3456, 1.1721611721611721E7
3520, 1.1789609067281157E7
3584, 1.1855929287850318E7
3648, 1.1776555357557915E7
3712, 9295430.41448805
3776, 1.1903260787330087E7
3840, 1.1826446891861925E7
3904, 1.188707280832095E7
3968, 1.1813461630067164E7
4032, 1.1743050863254037E7
4096, 1.180131381813991E7
4160, 1.185806804706741E7
4224, 1.1789661717092777E7
4288, 1.1724047421147032E7
4352, 1.1778971072232809E7
4416, 1.137745532493765E7
4480, 1.1432304425935E7
4544, 1.1379116916419584E7
4608, 1.1432427604549153E7
4672, 1.1380244363466298E7
4736, 1.1536362927741835E7
4800, 1.1381743683132255E7
4864, 1.1432439547215223E7
4928, 1.1482254697286014E7
4992, 1.133556169161459E7
5056, 1.148088940560965E7
5120, 1.152841574349275E7
5184, 1.1479591836734693E7
5248, 1.0116431490477294E7
5312, 1.1478555499853062E7
5376, 1.1432460020415107E7
5440, 1.147737438182524E7
5504, 1.152177917706362E7
5568, 1.1476247794614738E7
5632, 1.1432468861137725E7
5696, 1.1475356993198596E7
5760, 1.1432382222645644E7
5824, 1.1474324622513633E7
5888, 1.1515834272124171E7
5952, 1.1473513763590101E7
6016, 1.0074891815490145E7
6080, 1.139242403801472E7
6144, 1.1512344291046454E7
6208, 1.188161259205953E7
6272, 1.1918878652436985E7
6336, 1.1789749467823809E7
6400, 1.174553302697068E7
6464, 1.1862988357240386E7
6528, 1.189903320355221E7
6592, 1.1854409437491007E7
6656, 1.1810967732776854E7
6720, 1.0468594217347955E7
6784, 1.1880744227751626E7
6848, 1.191486992469691E7
6912, 1.18722088629337E7
6976, 1.1905737145353759E7
7040, 1.047968370409184E7
7104, 1.1822817505225739E7
7168, 1.1929488203653406E7
7232, 1.1888323404479163E7
7296, 1.1848156520383507E7
7360, 1.1880011880011879E7
7424, 1.191163823533187E7
7488, 1.187214611872146E7
7552, 1.1903110696407631E7
7616, 1.1864406779661017E7
7680, 1.1692202762282902E7
7744, 1.1856932876041157E7
7808, 1.1623060342261018E7
7872, 1.1849853683209093E7
7936, 1.1879528171965752E7
8000, 9484786.402610213
8064, 6689540.293198303
8128, 1.0728503394895513E7
8192, 1.0353892821031345E7
8256, 1.0738701990614042E7
8320, 1.0717892697405033E7
8384, 9984375.595442247
8448, 1.1490375722228872E7
8512, 1.1461071136197165E7
8576, 1.0589432299744155E7
8640, 1.1517788584591758E7
8704, 1.1488669721864374E7
8768, 1.1516476126429053E7
8832, 1.1543890834945366E7
8896, 1.1405128205128206E7
8960, 1.1542345981820805E7
9024, 1.151408127226515E7
9088, 1.1486233708455931E7
9152, 1.1459021976480957E7
9216, 1.1485543369890328E7
9280, 1.1511819462914078E7
9344, 1.1484872024307024E7
9408, 1.1510678699371612E7
9472, 1.1484107508317249E7
