Message Length(bits), Throughput (Octet/sec)
5312, 2.5417240851324454E7
5376, 2.5271708472791545E7
5440, 2.5572562145086683E7
5504, 2.4996366807150126E7
5568, 2.3311116321130723E7
5632, 2.5151839942836728E7
5696, 2.5436747525990497E7
5760, 2.3384215654433258E7
5824, 2.5582457743261766E7
5888, 2.3547478884054262E7
5952, 2.572347266881029E7
6016, 2.5586934331405237E7
6080, 2.585825592868565E7
6144, 2.5722611112971835E7
6208, 2.5991425509110395E7
6272, 2.585496158031857E7
6336, 2.357914793533597E7
6400, 2.5982461838259175E7
6464, 2.585103660097261E7
6528, 2.6106987458407987E7
6592, 2.636293831584336E7
6656, 2.3779581570824284E7
6720, 2.400823139362067E7
6784, 2.3607360596865345E7
6848, 2.621264086232239E7
6912, 2.608538131755329E7
6976, 2.5960880050016373E7
7040, 2.3878005101210177E7
7104, 2.4095077874857545E7
7168, 2.4623502253490165E7
7232, 2.618620010428133E7
7296, 2.6417936388390012E7
7360, 2.6294729621584546E7
7424, 2.396694214876033E7
7488, 2.4468029487112455E7
7552, 2.40896215581698E7
7616, 2.6502602934216756E7
7680, 2.540489044140997E7
7744, 2.4127617148554336E7
7808, 2.6151496476514563E7
7872, 2.66992266992267E7
7936, 2.6580209533506606E7
8000, 2.6795284030010715E7
8064, 2.6675840897663217E7
8128, 2.6560008365356963E7
8192, 2.6446280991735537E7
8256, 2.6978276213630304E7
8320, 2.423169225750833E7
8384, 2.674356291627325E7
8448, 2.694771225151198E7
8512, 2.7151861586750705E7
8576, 2.7033842739698395E7
8640, 2.691924227318046E7
8704, 2.6806612954887033E7
8768, 2.610393940837422E7
8832, 2.6892066353250675E7
8896, 2.7086936399288725E7
8960, 2.6975601531828802E7
9024, 2.6866098223217264E7
9088, 2.7056637926928025E7
9152, 2.694744776576449E7
9216, 2.6552344074125294E7
9280, 2.7027656748759292E7
9344, 2.6921126630710367E7
9408, 2.7106142676040106E7
9472, 2.728990918729544E7
9536, 2.7182340600200675E7
9600, 2.7364772416309405E7
9664, 2.697391925687746E7
9728, 2.715194819694094E7
9792, 2.7049125986166053E7
9856, 2.722591765927825E7
9920, 2.7122796272802837E7
9984, 2.4542772861356933E7
10048, 2.7472767837613195E7
10112, 2.7368785726658586E7
10176, 2.7266296542410668E7
10240, 2.716641551881486E7
10304, 2.7335625450995374E7
10368, 2.7236045729657028E7
10432, 2.6621480921952512E7
10496, 2.7304890738813736E7
10560, 2.720695838572047E7
10624, 2.475349027940875E7
10688, 2.7274211987587783E7
10752, 2.441505595116989E7
10816, 2.7340748230535895E7
10880, 2.750252780586451E7
10944, 2.932413024372468E7
11008, 2.8917283120376598E7
11072, 2.9667102527277015E7
11136, 2.9543476876711164E7
11200, 2.971263635977758E7
11264, 2.9589778076664425E7
11328, 2.946930280957336E7
11392, 2.9635179288672455E7
11456, 2.9234035603462357E7
11520, 2.9680318238967784E7
11584, 2.9845208895850938E7
11648, 2.9724598330032866E7
11712, 2.96056622851365E7
11776, 2.9767441860465113E7
11840, 2.9929221435793728E7
11904, 2.98094837430134E7
11968, 2.9692555028481826E7
12032, 2.9577769474325944E7
12096, 2.9734513274336282E7
12160, 2.9620391300958764E7
12224, 2.97762880972796E7
12288, 2.966281719516434E7
12352, 2.9816735221984047E7
12416, 2.997180487428064E7
12480, 2.9857030756569505E7
12544, 2.974485440576686E7
12608, 2.9896046741027392E7
12672, 2.9784513557218608E7
12736, 2.70840421912215E7
12800, 3.0085367229513746E7
12864, 2.997259967566963E7
12928, 2.9862330222673934E7
12992, 2.975339855630061E7
13056, 2.9900514831168357E7
13120, 2.9792181368987065E7
13184, 3.0193103953684364E7
13248, 2.982977573628749E7
13312, 2.9723839805651817E7
13376, 2.98672763973491E7
13440, 3.001018202604455E7
13504, 2.990362811791383E7
13568, 1.50850759145772E7
13632, 2.467991425757488E7
13696, 2.26529937148528E7
13760, 2.814458462192987E7
13824, 2.7235759543548845E7
13888, 2.531460985461598E7
13952, 2.7898197174987603E7
14016, 2.8026170556524243E7
14080, 2.5320097827650696E7
14144, 2.8072849680052083E7
14208, 2.820032392263965E7
14272, 2.619292321245045E7
14336, 2.8038553010389287E7
14400, 2.795986206468048E7
14464, 2.8288897233696334E7
14528, 2.820795601050032E7
14592, 2.8128614388156377E7
14656, 2.550004871734198E7
14720, 2.7973303738388795E7
14784, 2.809449968074432E7
14848, 2.80176317855202E7
14912, 2.8137972677183185E7
14976, 2.825873650841573E7
15040, 2.5506050903565418E7
15104, 2.8301179715489198E7
15168, 2.8223525558962755E7
15232, 2.566902595214021E7
15296, 2.8072236088680077E7
15360, 2.5405226596096594E7
15424, 2.811438237309885E7
15488, 2.8231039561368972E7
15552, 2.8156366322436742E7
15616, 2.5513671772886492E7
15680, 2.838769480331383E7
15744, 2.556707459661704E7
15808, 2.8238253115353838E7
15872, 2.8352172856795806E7
15936, 2.556894759135893E7
16000, 2.8391749357636668E7
16064, 2.8317585671978567E7
16128, 2.8244788164088767E7
16192, 2.8356473373775866E7
16256, 2.8101619438797385E7
16320, 2.8212255735800523E7
16384, 2.8322892032803662E7
16448, 2.562313060817547E7
16512, 2.8361387839230508E7
16576, 2.8471315699072488E7
16640, 2.5624283936777007E7
16704, 2.8327996960981168E7
16768, 2.8257499157398045E7
16832, 2.8365352207617123E7
16896, 2.8472821397756685E7
16960, 2.822602119614422E7
17024, 2.8509418289970797E7
17088, 2.826368857014317E7
17152, 2.819531568495943E7
17216, 2.830014991715105E7
17280, 2.8405728488578532E7
17344, 2.8336905944476392E7
17408, 2.8441841922961295E7
17472, 2.8373216930392083E7
17536, 2.8477148127939306E7
17600, 2.694790480040177E7
17664, 2.817260826294434E7
17728, 2.8444170613680415E7
17792, 2.8546490732659034E7
17856, 2.847883226580243E7
17920, 2.5677178261517473E7
17984, 2.83459006884725E7
18048, 2.8446417088025015E7
18112, 2.567766814109107E7
18176, 2.8480457291849475E7
18240, 2.858109886803806E7
18304, 2.8514456630109668E7
18368, 2.8448938121081457E7
18432, 2.838417188192973E7
18496, 2.864718856094962E7
18560, 2.841779051678732E7
18624, 2.8679487021546572E7
18688, 2.8613775278972063E7
18752, 2.8548461744574085E7
18816, 2.848423194303154E7
18880, 2.858111708569491E7
18944, 2.851672105877961E7
19008, 1.6066646831300206E7
19072, 1.4769566267896637E7
19136, 2.832814220916875E7
19200, 2.8422885159701087E7
19264, 2.8517628110233426E7
19328, 2.8455332430363346E7
19392, 2.8549555385430776E7
19456, 2.8487091786534227E7
19520, 2.8581134108772296E7
19584, 2.85188378107598E7
19648, 2.8457215688546438E7
19712, 2.854991020218991E7
19776, 2.5848277304334186E7
19840, 2.8580977515529383E7
19904, 2.5764228315798193E7
19968, 1758830.26512816
20032, 2.8550579221016146E7
20096, 2.8340309351625167E7
20160, 2.8580825895135585E7
20224, 2.8671558675755065E7
20288, 2.576371745248037E7
20352, 2.825505070137832E7
20416, 2.864068953133417E7
